iter	Passed	Remaining
0	342	341718
1	346	172993
2	350	116425
3	353	88134
4	358	71313
5	360	59769
6	363	51536
7	365	45371
8	368	40550
9	370	36723
10	374	33636
11	376	31014
12	379	28785
13	381	26876
14	384	25219
15	387	23809
16	389	22531
17	392	21394
18	394	20374
19	397	19456
20	399	18635
21	402	17906
22	405	17213
23	407	16577
24	410	15992
25	412	15454
26	415	14964
27	417	14508
28	420	14075
29	422	13671
30	425	13294
31	427	12938
32	430	12607
33	432	12293
34	435	11996
35	437	11715
36	439	11449
37	442	11206
38	445	10974
39	447	10748
40	450	10530
41	452	10323
42	455	10130
43	457	9943
44	460	9768
45	462	9597
46	465	9432
47	467	9273
48	470	9124
49	472	8978
50	475	8843
51	477	8708
52	480	8577
53	482	8453
54	485	8334
55	487	8217
56	490	8109
57	492	7999
58	495	7895
59	498	7805
60	501	7717
61	504	7639
62	507	7553
63	511	7485
64	515	7415
65	518	7337
66	521	7257
67	522	7162
68	525	7089
69	528	7015
70	530	6944
71	533	6872
72	535	6803
73	538	6734
74	540	6668
75	542	6601
76	545	6539
77	547	6477
78	550	6418
79	553	6361
80	555	6303
81	558	6249
82	560	6194
83	563	6142
84	565	6082
85	567	6036
86	569	5978
87	572	5930
88	574	5882
89	577	5838
90	580	5794
91	582	5751
92	585	5706
93	587	5664
94	590	5624
95	592	5584
96	595	5543
97	598	5504
98	600	5465
99	602	5426
100	605	5389
101	607	5346
102	609	5310
103	612	5274
104	615	5242
105	617	5207
106	619	5173
107	622	5141
108	624	5108
109	627	5077
110	629	5045
111	632	5014
112	634	4983
113	637	4955
114	639	4924
115	641	4892
116	644	4863
117	646	4835
118	649	4807
119	652	4782
120	654	4755
121	657	4733
122	660	4708
123	664	4693
124	666	4668
125	669	4643
126	671	4617
127	673	4589
128	676	4567
129	679	4544
130	681	4521
131	684	4498
132	686	4475
133	689	4453
134	691	4432
135	694	4411
136	696	4389
137	698	4365
138	701	4346
139	704	4325
140	706	4304
141	709	4284
142	711	4264
143	714	4247
144	717	4228
145	719	4210
146	722	4191
147	724	4173
148	727	4154
149	730	4137
150	732	4119
151	735	4101
152	737	4084
153	740	4066
154	742	4050
155	745	4032
156	747	4016
157	750	4000
158	753	3985
159	755	3968
160	758	3953
161	761	3936
162	763	3920
163	765	3904
164	768	3889
165	771	3874
166	773	3860
167	776	3844
168	778	3829
169	781	3816
170	784	3801
171	787	3790
172	789	3775
173	792	3762
174	794	3747
175	797	3735
176	800	3721
177	802	3707
178	805	3694
179	808	3680
180	809	3662
181	812	3652
182	815	3639
183	817	3626
184	820	3613
185	822	3601
186	825	3589
187	828	3576
188	830	3563
189	832	3550
190	835	3538
191	838	3527
192	841	3517
193	843	3505
194	846	3494
195	849	3485
196	852	3476
197	855	3466
198	858	3455
199	861	3444
200	863	3432
201	865	3420
202	868	3409
203	871	3400
204	874	3389
205	876	3378
